text,annotation_92,annotation_93,annotation_94,annotation_95
Shut down all Visalia Unified School District Schools to prevent Corona Virus,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Allow Fall Advantage participants to arrive for the Fall program.,pro-mitigation,unclear,unclear,anti-mitigation
Opt-In and Implement AB 626 in Orange County,pro-mitigation,unclear,pro-mitigation,unclear
PM Modi: Tell Indian Men to Do an Equal Share of Household Chores in Your Next Speech,pro-mitigation,unclear,unclear,unclear
No More Live Markets - make the difference,anti-mitigation,unclear,pro-mitigation,pro-mitigation
Amend order to allow JCPD officers to wear BDU's during PANDEMIC!,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Reopen Gyms To Help Combat COVID-19,pro-mitigation,anti-mitigation,anti-mitigation,unclear
Mississippi State University students want the option for classes to be Pass/Fail,pro-mitigation,unclear,unclear,unclear
Covid-19:   Salud a través del ejercicio!,pro-mitigation,unclear,pro-mitigation,unclear
Cancel Alberta Diploma Examinations,pro-mitigation,unclear,pro-mitigation,unclear
"Stop the barbaric wolf cull & poisoning in NWT, BC and AB",pro-mitigation,unclear,unclear,unclear
SAVE THE NORTHCOTE PUBLIC GOLF COURSE,pro-mitigation,unclear,anti-mitigation,anti-mitigation
"$2,000/month for Each Adult and $1,000/month for Each Child during COVID-19 crisis",pro-mitigation,unclear,pro-mitigation,pro-mitigation
Save Maryland Restaurants,pro-mitigation,unclear,unclear,unclear
"Halt Rent, Mortgage, and Utility Payments During COVID-19 Outbreak",pro-mitigation,unclear,pro-mitigation,unclear
Take back the decision to end the relationship with the Chinese scholars who fund by CSC,pro-mitigation,unclear,anti-mitigation,pro-mitigation
Luxury Escapes to Honour Refund Policy Amidst COVID-19 Pandemic,pro-mitigation,unclear,unclear,unclear
Postpone JEE & NEET to the end of 2020,,unclear,pro-mitigation,pro-mitigation
The beauty industry - financial support & operational clarity from government & insurers,unclear,unclear,unclear,unclear
Cancel the 2020 St Patrick's Day Parades in Ireland to help reduce the spread of COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Protect Hanover community from Wegmans,pro-mitigation,unclear,unclear,unclear
AMPLIACION DE LA BECA CONTINUIDAD DE ESTUDIOS I - II Convocatoria. BECA PRONABEC,pro-mitigation,unclear,unclear,unclear
Luton mayor and councillors in breach of lockdown rules to resign,pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
Fast food restaurants to print vehicle reg on takeaway packaging to discourage littering.,pro-mitigation,unclear,unclear,anti-mitigation
Allow Donna Kay Rule to compete in the NFR!,pro-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
SHUTDOWN BROWARD COUNTY,pro-mitigation,unclear,pro-mitigation,anti-mitigation
School Stays ON !,pro-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Cancel the 2020-2021 school year SOLs,pro-mitigation,unclear,unclear,unclear
Make Covid duty for final MBBS students voluntary,pro-mitigation,unclear,anti-mitigation,unclear
Hazard Pay For Essential Workers,unclear,unclear,unclear,pro-mitigation
"ICMR JRF 2020 ,DBT BET JRF 2020 and GATB 2020 got postponed now",pro-mitigation,unclear,pro-mitigation,pro-mitigation
Close All Wildlife Trading Markets Globally,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Demand that Micro-Businesses be priority to financial assistance for US COVID-19 relief!,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Allow EBT recipients to order groceries online during COVID-19 pandemic and beyond.,pro-mitigation,unclear,pro-mitigation,pro-mitigation
UT AUSTIN NEEDS TO CONTACT ALL RESIDENTS AND STAFF WHEN COVID-19 CASES EMERGE,pro-mitigation,pro-mitigation,unclear,unclear
Varsity College must decrease their school fees by 35% because of the COVID 19 pandemic,pro-mitigation,unclear,anti-mitigation,unclear
Demand Johns Hopkins Protect its Graduate Employees amid COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Allow medical schools to proctor board exams to combat scheduling issues due to COVID-19.,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Lift Restrictions for New Brunswickers Travelling to Nova Scotia,pro-mitigation,anti-mitigation,anti-mitigation,pro-mitigation
University and College tuition reduction in Ontario,unclear,unclear,pro-mitigation,pro-mitigation
Australian Healthcare Workers demand safe Personal Protective Equipment for COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Open Texas Nursing Homes and Assisted Living Centers,pro-mitigation,unclear,unclear,anti-mitigation
Cancel all further assignments and exams due to instability caused by COVID-19,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Keep NM Garden Nurseries Open,pro-mitigation,anti-mitigation,anti-mitigation,pro-mitigation
Stop the Suppression and Redirection of Covid-19 Data,pro-mitigation,anti-mitigation,,anti-mitigation
Signez la lettre pour le retrait de la proposition de loi sur un ordre des psychologues,pro-mitigation,unclear,unclear,
Demand California Delay Implementing Cuts to Pharmacies During COVID-19 Pandemic,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Cancel GEBE bills during lockdown,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Suspension of rent payments to students during the Coronavirus pandemic.,pro-mitigation,unclear,unclear,pro-mitigation
Proposal to Make Alberta's Diploma Examinations Voluntary,unclear,unclear,unclear,unclear
..,,unclear,unclear,unclear
"Allow access in Point Roberts, WA for Canadian property, boat & animal owners",pro-mitigation,anti-mitigation,anti-mitigation,unclear
