,text,label
0,CARTA PELOS POBRES!,unclear
1,Target: Protect your team and community as Covid-19 surges on.,pro-mitigation
2,Restrict Maximum Monthy BCHydro Charges During Covid-19 Outbreak,pro-mitigation
3,Ensure Sir Richard Branson sells private assets before being bailed out by the government.,unclear
4,Cancel Lucknow University Exams! Mass promotion of students is an option.,pro-mitigation
5,KCL Has Coronavirus Case: Petition to Have Online Classes by March 9th,pro-mitigation
6,RI State schools to STOP charging campus fees when classes are online.,pro-mitigation
7,Texas State: Cancel all online class fees.,pro-mitigation
8,Vermeiden von Pandemien - Schließung chinesischer Tiermärkte,anti-mitigation
9,Help SJSU Students Cancel Their Lease at The Grad in the Middle of COVID-19 Outbreak!,pro-mitigation
10,Suspend mortgage and rent payments during Covid-19 crisis in New Jersey,pro-mitigation
11,COVID-19 Response to Support Families with Disabled Children,pro-mitigation
12,Save Roma St Parklands,pro-mitigation
13,Guarantee UEA Final Year Students A Graduation Ceremony,anti-mitigation
14,Uber’s “ Clean Air Fee” to be paid to Uber Drivers as Emergency Situation ( COVID-19 ),pro-mitigation
15,End Brookings City Council COVID Policies,anti-mitigation
16,Make Google Education Services available for Iran,pro-mitigation
17,Queens Park Allotment Covid-19,pro-mitigation
18,Close UO Eugene Campus due to COVID-19 Death in Washington and New Cases,pro-mitigation
19,Life-saving measures to protect Louisiana Prisoners from COVID-19,pro-mitigation
20,Require Face Masks in Idaho Shared Public Spaces,pro-mitigation
21,Give Stanford Graduate Students Housing Flexibility w/COVID-19 Concerns,pro-mitigation
22,Allow International Students to stay in the U​.​S. even with institutions going online,pro-mitigation
23,Close schools over coronovirus,pro-mitigation
24,Tax relief for key worker during Covid-19 crisis,pro-mitigation
25,Grant all illegal migrants leave to remain in Ireland.,unclear
26,Allow Dorset Council powers to limit tourists and protect our local NHS from a second wave,pro-mitigation
27,Bring back the six sports impacted by the St. Edward's University Athletics budget cuts,anti-mitigation
28,Break due to the Pandemic,pro-mitigation
29,Don’t forget Ltd company business owners during COVID-19,anti-mitigation
30,Provisional licenses for eligible  teens in MA who are affected by COVID-19 shut down.,pro-mitigation
31,EUA Approval From FDA For Rapid COVID-19 Tests,pro-mitigation
32,STOP oil drilling in The Bahamas,unclear
33,Delay reopening of Arkansas Public Schools because of COVID-19. Protect our children!,pro-mitigation
34,LockdownPakistan- economic losses now or disastrous economic and human losses later?,unclear
35,Protect pregnant healthcare workers in the UK from COVID-19,pro-mitigation
36,Save Altitude Trampoline Park in Spokane Valley,anti-mitigation
37,Hazard Pay for Security Officers as Fontliners during COVID-19 Pandemic,pro-mitigation
38,Heritage Golf & Country Club - don’t kill beloved local kangas!,unclear
39,Covid-19 shouldn't stop academic Justice,unclear
40,Tell Jim Justice to lock down West Virginia,pro-mitigation
