text,annotation_56,annotation_54,annotation_55
"The public is deeply skeptical about any #coronavirus #vaccine approved before the November election, says new poll… https://t.co/D9lKHIjSha",unclear,unclear,anti-mitigation
Hmm what are the CDC guidelines? If you’re vaccinated you don’t need to wear a mask… duh.,anti-mitigation,pro-mitigation,pro-mitigation
"Glad he is deciding to throw a party outdoors, instead of inside, per cdc guidelines",pro-mitigation,pro-mitigation,pro-mitigation
"Dr. Lewis, are you following the revision of CDC pain Guidelines?",unclear,unclear,pro-mitigation
"The cdc laid out semi reasonable guidelines but red states have moved on.  Indiana schools appear to be saying, “if you’re sick, come anyway!”   last year they required masks/ negative test to come back if you had symptoms &amp; they accommodated kids/teachers who had to quarantine.",pro-mitigation,pro-mitigation,anti-mitigation
#CovidVaccine will never work. ANd has never worked in the past. #VaccineSafety https://t.co/sekHuA1pye,anti-mitigation,anti-mitigation,anti-mitigation
"No proof of relapse, reinfection among Covid recovered: ICMR | Pune News - Times of India
#pune #CovidVaccine… https://t.co/zjhesMgqJx",unclear,unclear,unclear
Absolutely phenomenal dedication to this story from p… https://t.co/dKfROx1vdi,unclear,unclear,unclear
"#Sinovac Biotech #covidvaccine offered by #Chinese city for emergency use costs $60
https://t.co/sh9jzriGic https://t.co/C3jkj6rGzl",unclear,unclear,pro-mitigation
Where is the FDA press conference to discuss where in the process each of the Vaccine candidates are and how each o… https://t.co/C2jrktM55m,unclear,pro-mitigation,anti-mitigation
"The “CDC will investigate”? The same CDC who fabricated opioid prescribing “guidelines” that have destroyed millions of #chronicpain pts lives? Pts doing well, taking #opioids ‘AS PRESCRIBED’. Rapidly, involuntary tapered or cut-off.  Destabilizing pts. Ruined lives. Suicide.",unclear,anti-mitigation,anti-mitigation
"Tonight is the night! Food Truck Thursday, 5-9pm at Center Lake Park. Live music by Oviedo's own Bailey Callahan, plus 8 different food trucks and blood drive will be here from 4-9pm. Free event, CDC Guidelines for social distancing will be followed. See you soon!",pro-mitigation,unclear,pro-mitigation
"Hey, you love to mention CDC guidelines in HR meetings as a reason to jeopardize everyone's health. What about this guideline? Testing is not exclusive to unvaccinated people, especially when 10,000s of people interact on a daily basis with #DeltaVariant near campuses.",pro-mitigation,pro-mitigation,pro-mitigation
